slot_id,factor,offset,min,max,unit,description,vss_unit,vss_a,vss_b
57,0.01,0.0,0.0,642.55,ms,SAEtm01 (Time),s,0.001,0.0
58,0.05,0.0,0.0,210554060.75,h,SAEtm09 (Time),s,3600.0,0.0
59,0.1,0.0,0.0,25.0,s,SAEtm03 (Time),s,1.0,0.0
60,0.25,0.0,0.0,62.5,days,SAEcd01 (Calendar; days),s,86400.0,0.0
61,1.0,0.0,0.0,250.0,min,SAEtm08 (Time),s,60.0,0.0
62,1.0,0.0,0.0,250.0,month,SAEcm01 (Calendar; months),s,2592000.0,0.0
63,0.25,0.0,0.0,62.5,s,SAEtm04 (Time),s,1.0,0.0
65,1.0,-125.0,-125.0,125.0,week,SAEcw01 (Calendar; weeks),week,1.0,0.0
66,1.0,1985.0,1985.0,2235.0,year,SAEcy01 (Calendar; years),s,31536000.0,0.0
67,1.0,-40.0,-40.0,210.0,°C,SAEtp01 (Temperature),celsius,1.0,0.0
68,0.03125,-273.0,-273.0,1734.96875,°C,SAEtp02 (Temperature),celsius,1.0,0.0
70,1.0,0.0,0.0,64255.0,Nm,SAEtq02 (Torque),Nm,1.0,0.0
71,0.00390625,0.0,0.0,250.996,km,SAEvl02 (Velocity; linear),m,1000.0,0.0
72,0.0078125,-250.0,-250.0,251.992,km,SAEvl03 (Velocity; linear),m,1000.0,0.0
73,1.0,0.0,0.0,250.0,km,SAEvl05 (Velocity; linear),m,1000.0,0.0
74,0.0625,-7.8125,-7.8125,7.8125,km,SAEvl04 (Velocity; linear),m,1000.0,0.0
75,0.5,0.0,0.0,2105540607.5,l,SAEvm1 (Volume),l,1.0,0.0
76,0.125,0.0,0.0,8031.875,rpm,SAEvr01 (Velocity; rotational),rpm,1.0,0.0
77,4.0,0.0,0.0,257020.0,rpm,SAEvr03 (Velocity; rotational),rpm,1.0,0.0
78,0.5,0.0,0.0,32127.5,rpm,SAEvr02 (Velocity; rotational),rpm,1.0,0.0
80,0.05,0.0,0.0,3212.75,V,SAEev01 (Electrical Voltage),v,1.0,0.0
