valtable_id,definition,description,vss_type,vss_labels
COLDSTART,0:OFF_PHASE_HEAT_OFF_AND_LAMP_OFF;1:PRE_HEATING_PHASE;2:STAND_BY_PHASE_WITH_HEATING;3:STAND_BY_PHASE_WITHOUT_HEATING;4:CRANK_PHASE;5:CRANK_WITH_EXTRA_HEATING_PHASE;6:POST_HEATING_PHASE;7:INITIALIZATION_PHASE;8:TEST_OF_GRID_HEATER_VOLTAGE,Value table for COLDSTART,enum,OFF_PHASE_HEAT_OFF_AND_LAMP_OFF|PRE_HEATING_PHASE|STAND_BY_PHASE_WITH_HEATING|STAND_BY_PHASE_WITHOUT_HEATING|CRANK_PHASE|CRANK_WITH_EXTRA_HEATING_PHASE|POST_HEATING_PHASE|INITIALIZATION_PHASE|TEST_OF_GRID_HEATER_VOLTAGE
FUELBLOCK,0:FUEL_RELEASED;1:FUEL_BLOCKED,Value table for FUELBLOCK,boolean,FUEL_RELEASED|FUEL_BLOCKED
LAMPST,0:OFF;1:ON;2:BLINKING;3:NA,Value table for LAMPST,enum,OFF|ON|BLINKING
WRNHIGH,0:NORMAL;1:ABOVE_OPERATION_RANGE;2:RESERVED;3:NA,Value table for WRNHIGH,enum,NORMAL|ABOVE_OPERATION_RANGE
LAMPBITST,0:OFF;1:ON;4:BLINKING,Value table for LAMPBITST,enum,OFF|ON|BLINKING
WRNLOW,0:NORMAL;1:BELOW_OPERATION_RANGE;2:RESERVED;3:NA,Value table for WRNLOW,enum,NORMAL|BELOW_OPERATION_RANGE
WRN,0:NORMAL;1:WARNING;2:RESERVED;3:NA,Value table for WRN,boolean,NORMAL|WARNING
EDCOPRST,0:NORMAL_OPERATION;1:AFTERRUN_DRIVE;2:DIAGNOSTIC_TEST,Value table for EDCOPRST,enum,NORMAL_OPERATION|AFTERRUN_DRIVE|DIAGNOSTIC_TEST
PTOST,0:OFF_DISABLED;1:HOLD;2:REMOTE_HOLD;3:STANDBY;4:REMOTE_STANDBY;5:SET;6:DECELERATE_COAST;7:RESUME;8:ACCELERATE;9:ACCELERATOR_OVERRIDE;10:PREPROGRAMMED_SET_SPEED_1;11:PREPROGRAMMED_SET_SPEED_2;12:PREPROGRAMMED_SET_SPEED_3;13:PREPROGRAMMED_SET_SPEED_4;14:PREPROGRAMMED_SET_SPEED_5;15:PREPROGRAMMED_SET_SPEED_6;16:PREPROGRAMMED_SET_SPEED_7;17:PREPROGRAMMED_SET_SPEED_8;18:PTO_SET_SPEED_MEMORY_1;19:PTO_SET_SPEED_MEMORY_2;31:NA,Value table for PTOST,enum,OFF_DISABLED|HOLD|REMOTE_HOLD|STANDBY|REMOTE_STANDBY|SET|DECELERATE_COAST|RESUME|ACCELERATE|ACCELERATOR_OVERRIDE|PREPROGRAMMED_SET_SPEED_1|PREPROGRAMMED_SET_SPEED_2|PREPROGRAMMED_SET_SPEED_3|PREPROGRAMMED_SET_SPEED_4|PREPROGRAMMED_SET_SPEED_5|PREPROGRAMMED_SET_SPEED_6|PREPROGRAMMED_SET_SPEED_7|PREPROGRAMMED_SET_SPEED_8|PTO_SET_SPEED_MEMORY_1|PTO_SET_SPEED_MEMORY_2
DPFACTREGENST,0:NOT_ACTIVE;1:ACTIVE;2:REGENERATION_NEEDED;3:NA,Value table for DPFACTREGENST,enum,NOT_ACTIVE|ACTIVE|REGENERATION_NEEDED
