NAME,DESC,VALUE
COLDSTART_MCU,SLOW_BLINKING,6
COLDSTART_MCU,NORMAL_BLINKING,7
WHLDRVMD,OFF,0
WHLDRVMD,FRONTALIGNREQ,1
WHLDRVMD,REARALIGNREQ,2
WHLDRVMD,ALIGNCOMPLETE,3
VHCSTSYMB,OFF,0
VHCSTSYMB,GREY,1
VHCSTSYMB,GREEN,2
VHCSTSYMB,YELLOW,3
DAC,NOT_READY,0
DAC,STAND_BY,1
DAC,MANUAL,2
DAC,AUTO,3
DAC,INTERLOCK,4
DAC,SUSPEND_AUTO,5
CHMSL,OFF,0
CHMSL,BRAKE_ON,1
CHMSL,STANDBY_WORKING_CONTINUOUS,2
CHMSL,WORKING_STATUS_FLASHING,3
CHMSL,SWING_RIGHT,4
CHMSL,SWING_LEFT,5
CHMSL,OBJECT_SENSING_FAST_FLASHING,6
MCHCOND,IDLE_CONDITION,0
MCHCOND,WORKING_CONDITION,1
MCHCOND,ERROR,2
MCHCOND,STANDSTILL_CONDITION,3
PILOTCUTOFFST,UNLOCK,0
PILOTCUTOFFST,MANUAL_LOCK,1
PILOTCUTOFFST,AUTO_LOCK,2
PILOTCUTOFFST,NOT_AVAILABLE,3
BODYST,OFF,0
BODYST,HOLD,1
BODYST,FLOAT,2
BODYST,NOT_DEFINED,3
ECOSYMBOL,GREEN,0
ECOSYMBOL,YELLOW,1
ECOSYMBOL,RED,2
ECOSYMBOL,WHITE,3
PROGRESS,NONE,0
PROGRESS,IN_PROGRESS,1
PROGRESS,COMPLETE,2
PROGRESS,NOT_AVAILABLE,3
PROGRESS2,IN_PROGRESS,0
PROGRESS2,COMPLETE,1
MANAUTO,MANUAL,0
MANAUTO,AUTO,1
MANAUTO,ERROR,2
MANAUTO,NOT_AVAILABLE,3
ADMINSET,NONE,0
ADMINSET,IGNITION_LOCK,1
ADMINSET,ATTACHMENT,2
ADMINSET,ENTERTAINMENT_RESTRICT,4
UPTIME,ALWAYS,0
UPTIME,1MIN,1
UPTIME,5MIN,2
UPTIME,NOT_AVAILABLE,3
HYDELEC,HYDRAULIC,0
HYDELEC,ELECTRIC,1
HYDELEC,ELECTRONIC,2
JOYPDL,NOT_AVAILABLE,0
JOYPDL,JOYSTICK,1
JOYPDL,OPTION_PEDAL,2
THMBWHL,SLOW,0
THMBWHL,NORMAL,1
THMBWHL,FAST,2
MULTIFUNC,WIPER_ON,0
MULTIFUNC,SMART_BOOM_CUT,1
MULTIFUNC,CAMERA_VIEW_MODE_CHANGE,2
MULTIFUNC,RAM_LOCK__STATUS_CHANGE,3
MULTIFUNC,AUDIO_MUTE,4
MULTIFUNC,AUTO_BREAKER,5
MULTIFUNC,FRONT_LIMITATION,6
MULTIFUNC,NOT_DEFINED,7
EMSCTRL,TIER2,0
EMSCTRL,TIER3,1
EMSCTRL,TIER4I,2
EMSCTRL,TIER4F,3
EMSCTRL,STAGEV,4
EMSCTRL,NR4,5
EMSCTRL,NOT_AVAILABLE,128
MCHGEN,DX,0
MCHGEN,U,1
MCHGEN,V,2
MCHGEN,C,3
MCHGEN,B,4
MCHGEN,W,5
MCHGEN,JD,96
MCHGEN,AGK,108
MCHGEN,DL,128
MCHGEN,H,129
MCHGEN,K,130
MCHGEN,S,131
MCHGEN,SD,132
MCHGEN,G,133
