VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.ACU.ACUFB6.KeyOn20AFuse2St,sensor,KeyOn20AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse3St,sensor,KeyOn20AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse4St,sensor,KeyOn20AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse5St,sensor,KeyOn20AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse6St,sensor,KeyOn20AFuse#6Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse7St,sensor,KeyOn20AFuse#7Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse8St,sensor,KeyOn20AFuse#8Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse9St,sensor,KeyOn20AFuse#9Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn20AFuse10St,sensor,KeyOn20AFuse#10Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn30AFuse1St,sensor,KeyOn30AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn30AFuse2St,sensor,KeyOn30AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn30AFuse3St,sensor,KeyOn30AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn30AFuse4St,sensor,KeyOn30AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.KeyOn30AFuse5St,sensor,KeyOn30AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MicroRly20AFuse1St,sensor,MicroRelay20AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MicroRly20AFuse2St,sensor,MicroRelay20AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MicroRly20AFuse3St,sensor,MicroRelay20AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MicroRly20AFuse4St,sensor,MicroRelay20AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MicroRly20AFuse5St,sensor,MicroRelay20AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MiniRly30AFuse1St,sensor,MiniRelay30AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACU.ACUFB6.MiniRly30AFuse2St,sensor,MiniRelay30AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlusPwrCur,sensor,B+PowerCurrent,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.KeyOnPwrCur,sensor,KEYONPowerCurrent,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MicroFuse1Cur,sensor,MicroFuse#1Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MicroFuse2Cur,sensor,MicroFuse#2Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MicroFuse3Cur,sensor,MicroFuse#3Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MicroFuse4Cur,sensor,MicroFuse#4Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MicroFuse5Cur,sensor,MicroFuse#5Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MINIFuse1Cur,sensor,MINIFuse#1Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.MINIFuse2Cur,sensor,MINIFuse#2Current,float16,A,0.0,3212.75,,,,J1939,,
Mch.SMB.ACUFB6.IpsTotalCur,sensor,IPSTotalCurrent,uint8,percent,0.0,102.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse1St,sensor,B+5AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse2St,sensor,B+5AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse3St,sensor,B+5AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse4St,sensor,B+5AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse5St,sensor,B+5AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse6St,sensor,B+5AFuse#6Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse7St,sensor,B+5AFuse#7Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse8St,sensor,B+5AFuse#8Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse9St,sensor,B+5AFuse#9Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus5AFuse10St,sensor,B+5AFuse#10Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus20AFuse1St,sensor,B+20AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus20AFuse2St,sensor,B+20AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus20AFuse3St,sensor,B+20AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus20AFuse4St,sensor,B+20AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus20AFuse5St,sensor,B+20AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus30AFuse1St,sensor,B+30AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus30AFuse2St,sensor,B+30AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus30AFuse3St,sensor,B+30AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus30AFuse4St,sensor,B+30AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.BPlus30AFuse5St,sensor,B+30AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse1St,sensor,KeyOn5AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse2St,sensor,KeyOn5AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse3St,sensor,KeyOn5AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse4St,sensor,KeyOn5AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse5St,sensor,KeyOn5AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse6St,sensor,KeyOn5AFuse#6Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse7St,sensor,KeyOn5AFuse#7Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse8St,sensor,KeyOn5AFuse#8Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse9St,sensor,KeyOn5AFuse#9Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse10St,sensor,KeyOn5AFuse#10Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse11St,sensor,KeyOn5AFuse#11Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse12St,sensor,KeyOn5AFuse#12Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse13St,sensor,KeyOn5AFuse#13Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse14St,sensor,KeyOn5AFuse#14Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn5AFuse15St,sensor,KeyOn5AFuse#15Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn10AFuse1St,sensor,KeyOn10AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn10AFuse2St,sensor,KeyOn10AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn10AFuse3St,sensor,KeyOn10AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn10AFuse4St,sensor,KeyOn10AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn10AFuse5St,sensor,KeyOn10AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse1St,sensor,KeyOn20AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse2St,sensor,KeyOn20AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse3St,sensor,KeyOn20AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse4St,sensor,KeyOn20AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse5St,sensor,KeyOn20AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse6St,sensor,KeyOn20AFuse#6Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse7St,sensor,KeyOn20AFuse#7Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse8St,sensor,KeyOn20AFuse#8Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse9St,sensor,KeyOn20AFuse#9Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn20AFuse10St,sensor,KeyOn20AFuse#10Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn30AFuse1St,sensor,KeyOn30AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn30AFuse2St,sensor,KeyOn30AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn30AFuse3St,sensor,KeyOn30AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn30AFuse4St,sensor,KeyOn30AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.KeyOn30AFuse5St,sensor,KeyOn30AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MicroRly20AFuse1St,sensor,MicroRelay20AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MicroRly20AFuse2St,sensor,MicroRelay20AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MicroRly20AFuse3St,sensor,MicroRelay20AFuse#3Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MicroRly20AFuse4St,sensor,MicroRelay20AFuse#4Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MicroRly20AFuse5St,sensor,MicroRelay20AFuse#5Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MiniRly30AFuse1St,sensor,MiniRelay30AFuse#1Status,uint8,,0.0,1.0,,,,J1939,,
Mch.SMB.ACUFB6.MiniRly30AFuse2St,sensor,MiniRelay30AFuse#2Status,uint8,,0.0,1.0,,,,J1939,,
Mch.ACCU.ACRM1.CurTmpSet,sensor,CurrentTemperatureSetting(Celsius),uint8,Celsius,17.0,32.0,,,,J1939,,
Mch.ACCU.ACRM1.CurAmbTmpCelsFilt,sensor,"CurrentAmbientTemperature(Celsius),Filtered",int8,Celsius,-40.0,86.0,,,,J1939,,
Mch.ACCU.ACRM1.CurBlowerSpd,sensor,CurrentBlowerSpeed,uint8,,0.0,13.0,,,,J1939,,
Mch.ACCU.ACRM1.TmpSt,sensor,TemperatureState,uint8,Step,1.0,15.0,,,,J1939,,
Mch.ACCU.ACRM1.CurAmbTmpCelsRealTm,sensor,"CurrentAmbientTemperature(Celsius),RealTime",int8,Celsius,-40.0,86.0,,,,J1939,,
Mch.ACCU.ACRM1.AcpSsPrs,sensor,ACPsensorPressure,uint16,,0.0,4000.0,,,,J1939,,
Mch.Audio.AFRTGP.MsgCounter,sensor,Message Counter,uint8,,0.0,15.0,,,,J1939,,
Mch.Audio.AFRTGP.ReqPgn,sensor,Requesting PGN,uint32,,0.0,16777215.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm11FrqtoGp,sensor,Audio PreSET FM1 1 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm12FrqtoGp,sensor,Audio PreSET FM1 2 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm13FrqtoGp,sensor,Audio PreSET FM1 3 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm14FrqtoGp,sensor,Audio PreSET FM1 4 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm15FrqtoGp,sensor,Audio PreSET FM1 5 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm16FrqtoGp,sensor,Audio PreSET FM1 6 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm21FrqtoGp,sensor,Audio PreSET FM2 1 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm22FrqtoGp,sensor,Audio PreSET FM2 2 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm23FrqtoGp,sensor,Audio PreSET FM2 3 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm24FrqtoGp,sensor,Audio PreSET FM2 4 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm25FrqtoGp,sensor,Audio PreSET FM2 5 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFm26FrqtoGp,sensor,Audio PreSET FM2 6 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFma1FrqtoGp,sensor,Audio PreSET FMA 1 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFma2FrqtoGp,sensor,Audio PreSET FMA 2 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFma3FrqtoGp,sensor,Audio PreSET FMA 3 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFma4FrqtoGp,sensor,Audio PreSET FMA 4 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFma5FrqtoGp,sensor,Audio PreSET FMA 5 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetFma6FrqtoGp,sensor,Audio PreSET FMA 6 Frequency to GP,uint8,MHz,0.0,200.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm11FrqtoGp,sensor,Audio PreSET AM1 1 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm12FrqtoGp,sensor,Audio PreSET AM1 2 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm13FrqtoGp,sensor,Audio PreSET AM1 3 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm14FrqtoGp,sensor,Audio PreSET AM1 4 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm15FrqtoGp,sensor,Audio PreSET AM1 5 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm16FrqtoGp,sensor,Audio PreSET AM1 6 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm21FrqtoGp,sensor,Audio PreSET AM2 1 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm22FrqtoGp,sensor,Audio PreSET AM2 2 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm23FrqtoGp,sensor,Audio PreSET AM2 3 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm24FrqtoGp,sensor,Audio PreSET AM2 4 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm25FrqtoGp,sensor,Audio PreSET AM2 5 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAm26FrqtoGp,sensor,Audio PreSET AM2 6 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAma1FrqtoGp,sensor,Audio PreSET AMA 1 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAma2FrqtoGp,sensor,Audio PreSET AMA 2 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAma3FrqtoGp,sensor,Audio PreSET AMA 3 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAma4FrqtoGp,sensor,Audio PreSET AMA 4 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAma5FrqtoGp,sensor,Audio PreSET AMA 5 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.Audio.APFGP.AdoPreSetAma6FrqtoGp,sensor,Audio PreSET AMA 6 Frequency to GP,uint16,KHz,0.0,2000.0,,,,J1939,,
Mch.MCU.ACUCTR2.OutReq1,sensor,Outputrequest#1,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq2,sensor,Outputrequest#2,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq3,sensor,Outputrequest#3,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq4,sensor,Outputrequest#4,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq5,sensor,Outputrequest#5,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq6,sensor,Outputrequest#6,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq7,sensor,Outputrequest#7,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq8,sensor,Outputrequest#8,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq9,sensor,Outputrequest#9,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq10,sensor,Outputrequest#10,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq11,sensor,Outputrequest#11,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq12,sensor,Outputrequest#12,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq13,sensor,Outputrequest#13,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq14,sensor,Outputrequest#14,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.OutReq15,sensor,Outputrequest#15,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq1,sensor,LowOutputrequest#1,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq2,sensor,LowOutputrequest#2,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq3,sensor,LowOutputrequest#3,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq4,sensor,LowOutputrequest#4,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq5,sensor,LowOutputrequest#5,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq6,sensor,LowOutputrequest#6,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq7,sensor,LowOutputrequest#7,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.MCU.ACUCTR2.LowOutReq8,sensor,LowOutputrequest#8,uint8,,,,OUTREQ,"['OFF', 'ON', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.TGU.TGUID.TypeCd,sensor,Terminal Type Code,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.TGUID.TguId,sensor,Terminal Serial Number,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.TGUID.ProdDt,sensor,Production Date,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.GPSINFO.X,sensor,Latitude,float16,deg,-210.0,211.1081215,,,,J1939,db78,
Mch.TGU.GPSINFO.Y,sensor,Longitude,float16,deg,-210.0,211.1081215,,,,J1939,A1gR,
Mch.TGU.GPSINFO.Z,sensor,Altitude,float16,m,-2500.0,5531.875,,,,J1939,4oAC,
Mch.TGU.GPSINFO.NoOfGpsSat,sensor,Number of GPS Satellites,uint8,,0.0,255.0,,,,J1939,,
Mch.TGU.GPSINFO.GpsSt,sensor,GPS State,uint8,,,,GPSST,"['UNKNOWN', 'NO_FIX', '2D', '3D']",,J1939,,
Mch.TGU.CINFO.SimIccid,sensor,SIM ICCID,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.CINFO.Imei,sensor,Cell IMEI,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.CINFO.Apn,sensor,APN,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.CINFO.ServerAdr,sensor,Server Address,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.CINFO.TmnIpAdr,sensor,Terminal IP Address,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.CINFO.CurNw,sensor,Current Network,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.CINFO.GsmType,sensor,GSM Type Connected Details,uint8,,,,GSMTYPE,"['GPRS', 'EDGE', 'UMTS', 'HSDPA', 'HSUPA', 'HSDPA_HSUPA', '1XRTT', '1XEVDO', '1XEVDO_REVA', '1XEVDO_REVB', '1XEVDV', '3XRTT', 'UMB', 'LTE', '5G_NSA', '5G_SA']",,J1939,,
Mch.TGU.CINFO.GsmdBm,sensor,GSM dBm,float,ASCII-FN,,,,,,J1939,,
Mch.TGU.SAT.Enable,sensor,Enable,uint8,,,,BOOL,"['FALSE', 'TRUE', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.TGU.SAT.Type,sensor,Type,uint8,,,,SATTYPE,"['NONE', 'IRIDIUM']",,J1939,Fhyz,
Mch.TGU.SAT.Rssi,sensor,RSSI,uint8,,0.0,255.0,,,,J1939,,
Mch.TGU.SAT.Imei,sensor,IMEI,float,ASCII,,,,,,J1939,Bty0,
Mch.TGU.SAT.Install,sensor,Install,uint8,,0.0,3.0,,,,J1939,,
Mch.TGU.TSEC.SecCmd,sensor,Security Command,uint8,,,,SCRTYCMD,"['NORMAL', 'RPM_LIMIT', 'ENGINE_LOCK', 'NOT_AVAILABLE']",,J1939,4WxP,
Mch.TGU.TSEC.GpsAntSt,sensor,GPS Antenna Status,uint8,,,,ANTST,"['NORMAL', 'ERROR1', 'ERROR2', 'NOT_AVAILABLE']",,J1939,,
Mch.TGU.TSEC.CellAntSt,sensor,Cell Antenna Status,uint8,,,,ANTST2,"['NORMAL', 'ERROR1', 'ERROR2', 'ERROR3']",,J1939,,
Mch.TGU.TSEC.WifiAntSt,sensor,WiFi Antenna Status,uint8,,,,ANTST2,"['NORMAL', 'ERROR1', 'ERROR2', 'ERROR3']",,J1939,,
Mch.TGU.TSEC.ActnDrSec,sensor,Activation DR security,uint8,,,,ACTIVE,"['INACTIVE', 'ACTIVE', 'RESERVED', 'NOT_AVAILABLE']",,J1939,,
Mch.TGU.TGUTM.LocalTmOffset,sensor,Local Time Offset,int32,sec,-2147483647.0,2147483647.0,,,,J1939,,
Mch.TGU.TGUTM.UtcTm,sensor,UTC Time,uint32,sec,0.0,4294967295.0,,,,J1939,,
Mch.TGU.DKLI.LogIn,sensor,LogIn,uint8,,,,BOOL,"['FALSE', 'TRUE', 'ERROR', 'NOT_AVAILABLE']",,J1939,,
Mch.TGU.DKLI.KeyType,sensor,KeyType,uint8,,,,KEYTYPE,"['NONE', 'FOB', 'DIGITAL_KEY', 'KEYLESS', 'REMOTE']",,J1939,,
Mch.TGU.DKLI.Dkey,sensor,DigitalKeyLoggedIn,float,binary,,,,,,J1939,,
