VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.MC3D,branch,,,,,,,,,,,
Mch.AMBLMP,branch,,,,,,,,,,,
Mch.RCTGU,branch,,,,,,,,,,,
Mch.RDU,branch,,,,,,,,,,,
Mch.PT3D,branch,,,,,,,,,,,
Mch.XCU,branch,,,,,,,,,,,
Mch.SAVM,branch,,,,,,,,,,,
Mch.TCU.TSC1,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.BRK.TSC1,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.ESP.TSC1,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.MCU.TSC1,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.TCU.TSC1RDE,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.BRK.TSC1RDE,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.RDD.TSC1RDE,branch,Torque− Speed Control receive message from Adaptive cruise control unit to retarder,,,,,,,,J1939,,
Mch.ESP.TSC1RDE,branch,Torque− Speed Control receive message from Adaptive cruise control unit to retarder,,,,,,,,J1939,,
Mch.MCU.TSC1RDE,branch,Torque/Speed Control 1,,,,,,,,J1939,,
Mch.MCU.HVESSC1,branch,High Voltage Energy Storage System Control 1,,,,,,,,J1939,,
Mch.MCU.MG1IC,branch,Motor/Generator 1 Inverter Control,,,,,,,,J1939,,
Mch.RDD.CM1,branch,Cab Message 1,,,,,,,,J1939,,
Mch.MCU.CM1,branch,Cab Message 1,,,,,,,,J1939,,
Mch.GP.GPSMTCU,branch,GP Setting Message to TCU,,,,,,,,J1939,,
Mch.MCU.MMIPR,branch,Man Machine Interface – Primary,,,,,,,,J1939,,
Mch.GP.GPSMCLT,branch,GP Setting Message to Cluster,,,,,,,,J1939,,
Mch.GP.GPSMVCU,branch,GP Setting Message to VCU,,,,,,,,J1939,,
Mch.TMS.REQMCU,branch,VCU Setting Message  From TMS,,,,,,,,J1939,,
Mch.GW.REQGP,branch,Gateway Setting Message to GP,,,,,,,,J1939,,
Mch.TMS.REQGP,branch,GP Setting Message  From TMS,,,,,,,,J1939,,
Mch.KPD1.REQGP,branch,Keypad Setting Message to GP,,,,,,,,J1939,,
Mch.GP.GPSMGW,branch,GP Setting Message to Gateway,,,,,,,,J1939,,
Mch.GP.GPSMTMS,branch,GP Setting Message to TMS,,,,,,,,J1939,,
Mch.GP.GPSMKPD,branch,GP Setting Message to Keypad,,,,,,,,J1939,,
Mch.GP.GPSMAVM,branch,GP Setting Message to AVM,,,,,,,,J1939,,
Mch.GW.REQEXMON,branch,Gateway Setting Message to AVM,,,,,,,,J1939,,
Mch.MCU.MMISC,branch,Man Machine Interface – Secondary,,,,,,,,J1939,,
Mch.RDE.ERC1,branch,Electronic Retarder Controller 1,,,,,,,,J1939,,
Mch.RDD.ERC1,branch,Electronic Retarder Controller 1,,,,,,,,J1939,,
Mch.FNR.EBC1,branch,EBC1,,,,,,,,J1939,,
Mch.BRK.EBC1,branch,Electronic Brake Controller 1,,,,,,,,J1939,,
Mch.TCU.ETC1,branch,Electronic Transmission Controller 1,,,,,,,,J1939,,
Mch.ECU.EEC2,branch,Electronic Engine Controller 2,,,,,,,,J1939,,
Mch.ECU.EEC1,branch,Electronic Engine Controller 1,,,,,,,,J1939,,
Mch.TCU.ETC2,branch,ETC2,,,,,,,,J1939,,
Mch.TCU.EAC1,branch,EAC1,,,,,,,,J1939,,
Mch.MCU.LOI,branch,Land levelling system operational information,,,,,,,,J1939,,
Mch.KPD2.AT1IG1,branch,Aftertreatment 1 Intake Gas 1,,,,,,,,J1939,,
Mch.ATSGO.AT1OG1,branch,Aftertreatment 1 Outlet Gas 1,,,,,,,,J1939,,
Mch.ACU.SSI2,branch,Slope Sensor Information 2,,,,,,,,J1939,,
Mch.IMU1.SSI2,branch,Slope Sensor Information 2,,,,,,,,J1939,,
Mch.IMU2.SSI2,branch,Slope Sensor Information 2,,,,,,,,J1939,,
Mch.IMU3.SSI2,branch,Slope Sensor Information 2,,,,,,,,J1939,,
Mch.IMU4.SSI2,branch,Slope Sensor Information 2,,,,,,,,J1939,,
Mch.IMU5.SSI2,branch,Slope Sensor Information 2,,,,,,,,J1939,,
Mch.AGW.HVESSD1,branch,High Voltage Energy Storage System Data 1,,,,,,,,J1939,,
Mch.AGW.HVESSD2,branch,High Voltage Energy Storage System Data 2,,,,,,,,J1939,,
Mch.AGW.HVESSD4,branch,High Voltage Energy Storage System Data 4,,,,,,,,J1939,,
Mch.AGW.HVESSD5,branch,High Voltage Energy Storage System Data 5,,,,,,,,J1939,,
Mch.AGW.HVESSD6,branch,High Voltage Energy Storage System Data 6,,,,,,,,J1939,,
Mch.PMI.MG1IMF1,branch,Motor/Generator 1 Inverter Mode Feedback 1,,,,,,,,J1939,,
Mch.MCU.IPGA,branch,PG Impostor Alert Message,,,,,,,,J1939,,
Mch.AGW.IPGA,branch,PG Impostor Alert Message,,,,,,,,J1939,,
Mch.PMI.MG1IMT,branch,Motor/Generator 1 Inverter Motor Temperature,,,,,,,,J1939,,
